customer_id,qtt_order,total_spent,
0,370,189719.04,
1,48,159092.71,
2,4,28239.3,
3,157,378630.99,
4,16,84763.2,
5,9,278171.01,
6,26,404910.31,
7,174,293242.19,
8,644,1185817.34,
9,99,221611.72,
10,79,219216.28,
11,2,146029.65,
12,345,555231.38,
13,127,383001.11,
14,16,67965.53,
15,18,157647.2,
16,279,272231.41,
17,18,43753.35,
18,22,142337.76,
19,34,253837.8,
20,5,126307.33,
21,52,106338.59,
22,26,7912.02,
23,118,100878.78,
24,257,43688.53,
25,29,52525.47,
26,51,420883.3,
27,5,262759.45,
28,101,26043.4,
29,49,15604.02,
30,48,42429.57,
31,159,555765.84,
32,452,1093656.72,
33,10,132583.51,
34,8,194275.45,
35,49,28548.16,
36,13,650424.9,
37,22,105735.57,
38,28,16620.02,
39,26,134734.86,
40,23,163425.83,
41,8,91895.69,
42,6,48537.06,
43,87,254136.69,
44,42,792871.2,
45,47,80735.94,
46,75,74678.13,
47,93,7241.76,
48,20,66027.35,
49,16,7655.07,
50,30,92011.65,
51,50,160997.07,
52,33,458328.46,
53,23,633262.73,
54,10,109825.69,
55,272,636360.15,
56,91,272559.4,
57,15,52887.53,
58,121,141227.5,
59,57,219884.42,
60,39,713658.54,
61,12,414676.19,
62,272,235708.22,
63,18,92543.89,
64,74,208922.04,
65,6,11736.71,
66,64,210535.44,
67,54,260903.37,
68,76,400523.25,
69,30,7816.15,
70,23,29830.95,
71,23,53417.04,
72,250,266271.87,
73,24,69955.31,
74,155,234167.2,
75,498,601059.36,
76,60,609994.8,
77,15,90994.29,
78,3,100678.94,
79,135,794923.38,
80,62,832010.4,
81,60,96291.6,
82,0,101253.74,
83,61,145346.92,
84,170,62939.74,
85,27,153587.9,
86,31,1178700.91,
87,97,198383.61,
88,88,237759.35,
89,213,117952.08,
90,24,107944.57,
91,14,38042.42,
92,34,53228.08,
93,93,223118.28,
94,42,31842.13,
95,46,42700.75,
96,483,38896.39,
97,40,2891.05,
98,7,492742.26,
99,32,132031.71,
100,38,47500.97,
101,7,44440.05,
102,8,217551.22,
103,56,208819.67,
104,74,57449.08,
105,73,8847.96,
106,4,40731.1,
107,19,45087.99,
108,460,17746.35,
109,138,74758.38,
110,6,37978.66,
111,18,10228.75,
112,113,47779.51,
113,15,254380.99,
114,66,111575.28,
115,7,110345.67,
116,188,126574.88,
117,47,199452.26,
118,103,170536.45,
119,46,191020.92,
120,15,57875.61,
121,181,9889.69,
122,82,253399.34,
123,17,38995.71,
124,55,45671.59,
125,68,65346.35,
126,43,351285.84,
127,8,284546.28,
128,5,6297.34,
129,33,181572.76,
130,211,203503.16,
131,136,474495.95,
132,14,28760.2,
133,5,114111,
134,16,401178.15,
135,37,76256,
136,61,613783.58,
137,15,75639.7,
138,40,53031.33,
139,243,1471204.25,
140,90,487737.94,
141,145,395767.25,
142,162,135389.95,
143,64,207854.4,
144,10,326017.55,
145,13,140879.6,
146,93,814487.56,
147,15,29629.96,
148,334,124726.65,
149,8,47623.7,
150,44,213671.4,
151,464,345185.93,
152,662,5041.15,
153,48,62452.92,
154,12,742431.05,
155,26,360802.08,
156,36,63347.17,
157,55,589623.63,
158,48,583416.18,
159,97,15304.04,
160,12,228049.13,
161,33,34873.59,
162,166,108469.61,
163,8,2081.56,
164,17,48165.35,
165,74,159700.86,
166,121,69568.55,
167,112,226248.31,
168,60,164101.98,
169,28,802796.73,
170,8,302907.89,
171,5,28769.94,
172,6,38328.51,
173,280,789550.37,
174,379,62717.25,
175,90,59809.04,
176,82,67012.34,
177,21,31228.96,
178,19,2994.4,
179,8,149194.9,
180,123,563179.54,
181,33,33607.6,
182,6,42686.49,
183,31,111909.56,
184,29,96901.53,
185,21,158042.7,
186,93,641653.56,
187,121,231835.01,
188,56,114951.23,
189,72,94911.93,
190,8,463734.92,
191,56,49211.28,
192,105,298497.17,
193,95,206471.13,
194,153,91735.31,
195,18,8180.55,
196,112,352047.98,
197,29,211083.73,
198,67,188290.21,
199,17,185250.8,
200,702,170779.81,
201,671,493892.36,
202,173,1167766.61,
203,33,92095,
204,159,315675.33,
205,65,158549.94,
206,14,76914.16,
207,65,228050.7,
208,61,159370.71,
209,16,461076.6,
210,26,369815.21,
211,18,151987.06,
212,54,28214.74,
213,5,45290.61,
214,47,14332.46,
215,54,25213.5,
216,23,481822.55,
217,8,1024801.65,
218,69,614968.45,
219,73,90369.17,
220,547,353878.08,
221,27,239248.09,
222,44,267640.3,
223,23,59866.48,
224,103,101870.05,
225,47,279042.34,
226,154,444756.85,
227,421,400050.49,
228,50,412945.59,
229,25,130996.37,
230,74,111645.54,
231,9,86706.7,
232,199,86252.34,
233,4,125458.92,
234,249,40741.54,
235,12,34016.83,
236,52,71716.77,
237,84,13701.11,
238,22,32481.97,
239,40,286581.17,
240,72,149081.97,
241,23,11689.83,
242,84,139854.21,
243,62,182486.91,
244,88,263933.66,
245,27,160588.22,
246,49,349393.1,
247,286,30982.96,
248,633,119678.16,
249,42,783583.79,
250,96,218040.48,
251,14,5149.89,
252,124,234330.25,
253,110,302434.02,
254,214,559791.6,
255,291,256524.43,
256,79,662559.73,
257,38,6468.84,
258,114,805059.54,
259,26,22202.65,
260,36,240303.91,
261,30,98359.32,
262,32,41165.21,
263,36,97178.17,
264,46,136376.69,
265,333,542801.1,
266,9,28850.04,
267,56,66563.6,
268,22,99488.95,
269,102,521442.61,
270,57,337663.21,
271,383,274574.56,
272,12,465129.08,
273,75,108342.3,
274,127,36326.4,
275,116,62336.72,
276,6,85262.55,
277,21,164258.47,
278,48,254497.59,
279,269,827768.46,
280,43,86096.6,
281,170,171667.31,
282,7,14677.96,
283,135,255084.7,
284,22,915153.71,
285,256,368501.74,
286,15,388894.3,
287,9,76872.89,
288,131,46964.06,
289,46,162013.97,
290,13,425614.37,
291,11,110589.23,
292,4,70728.77,
293,98,57564.67,
294,26,49462.5,
295,15,120104.04,
296,511,117210.24,
297,79,4438.82,
298,35,87261.44,
299,284,625606.01,
300,13,29956,
301,2,52787.15,
302,6,38667.17,
303,183,702507.28,
304,20,77545.66,
305,96,105022.52,
306,13,6528.57,
307,65,244839.13,
308,62,53493.5,
309,350,112186.52,
310,48,118205.05,
311,174,146117.41,
312,113,454521.38,
313,44,32085.99,
314,28,115614.18,
315,5,115567.31,
316,10,161187.97,
317,49,416905.72,
318,93,82922.86,
319,76,251075.52,
320,50,71189.91,
321,497,932713.92,
322,50,211453.02,
323,10,104321.45,
324,9,11186.64,
325,22,331792.35,
326,6,105611.93,
327,10,81769.96,
328,76,506567.96,
329,59,151175.71,
330,613,141438.54,
331,58,317546.2,
332,35,100263.1,
333,28,243030.81,
334,38,142832.75,
335,52,110784.14,
336,310,267247.16,
337,35,195712.94,
338,14,145592.26,
339,15,152579.85,
340,71,264555.17,
341,61,67921.5,
342,93,176125.41,
343,152,263092.88,
344,53,157744.01,
345,68,190394.51,
346,131,58129.18,
347,42,27779.84,
348,22,122897.54,
349,5,54278.15,
350,33,32559.16,
351,59,215665.09,
352,64,39946.46,
353,8,343394.34,
354,367,186603.12,
355,58,46349.46,
356,40,193852.18,
357,10,266113.4,
358,162,362105.6,
359,154,21754.76,
360,116,1199377.23,
361,19,30949.88,
362,102,98497.63,
363,118,3599.82,
364,173,1011840.11,
365,854,51247.05,
366,46,102320,
367,6,37311.09,
368,13,96656.11,
369,120,282091.37,
370,305,123483.45,
371,33,238923.2,
372,57,253659.83,
373,16,116255.65,
374,42,59294.71,
375,44,553835.94,
376,19,337491.02,
377,223,383294.69,
378,77,112682.37,
379,3,5647.72,
380,1274,856986.7,
381,99,68701.13,
382,30,886265.29,
383,118,231635.37,
384,15,132421.97,
385,29,202720.03,
386,218,130641.03,
387,172,37530.93,
388,39,45263.09,
389,34,80303.55,
390,78,61581.09,
391,6,11062.97,
392,41,534546.11,
393,85,128708.33,
394,6,370640.24,
395,91,345766.28,
396,204,329516.03,
397,30,167393.09,
398,266,90533.71,
399,45,99915.63,
400,67,18123.19,
401,1,152536.91,
402,75,144000.37,
403,43,467223.62,
404,26,27215.36,
405,63,73394.82,
406,62,248895.94,
407,187,68063.87,
408,232,100077.13,
409,186,94021.89,
410,43,39707.02,
411,118,214665.14,
412,48,96919.47,
413,41,26247.46,
414,47,463759.16,
415,128,829615.11,
416,42,52852.66,
417,206,383942.45,
418,193,156669.85,
419,7,253562.3,
420,268,179793.63,
421,24,105531.93,
422,16,361692.48,
423,40,254712.37,
424,92,151684.67,
425,21,214646.4,
426,84,219149.76,
427,22,9096.87,
428,32,588833.94,
429,29,44329.87,
430,69,209728.45,
431,188,461672.99,
432,66,64409.08,
433,6,140853.26,
434,17,143019.32,
435,38,83289.77,
436,58,67496.26,
437,108,44732.48,
438,130,86842.25,
439,84,461651.72,
440,191,233497.35,
441,80,116436.4,
442,102,75681.97,
443,37,207302.58,
444,14,8450.08,
445,57,52413.88,
446,169,122605.77,
447,590,328484.3,
448,60,246560.47,
449,6,6588.14,
450,30,409777.59,
451,67,183119.4,
452,20,64938.8,
453,49,413400.49,
454,29,1031988.08,
455,241,99181.73,
456,49,52774.27,
457,8,17542.2,
458,28,333118.58,
459,750,543106.29,
460,12,150544.49,
461,44,751353.78,
462,4,179052.14,
463,18,3888.33,
464,45,593644.68,
465,28,140859.17,
466,34,23469.23,
467,41,160903.75,
468,18,35390.97,
469,62,249868.92,
470,92,100123.54,
471,41,6179.59,
472,15,337259.77,
473,383,364484.7,
474,25,257533.57,
475,815,1730120.54,
476,252,51082.06,
477,317,24914.72,
478,95,367268.41,
479,46,256604.9,
480,122,125347.63,
481,69,290895.98,
482,43,198978.84,
483,30,33182.56,
484,22,91914.63,
485,26,285620.26,
486,3,12077.96,
487,48,606905.7,
488,9,80037.72,
489,214,266801.43,
490,426,1422362.77,
491,38,93836.31,
492,122,53708.61,
493,177,65689.71,
494,8,133732.71,
495,81,294478.54,
496,5,36306.98,
497,36,87038.95,
498,64,561633.53,
499,21,156707.39,
500,34,154500.18,
501,6,118097.71,
502,624,130146.75,
503,82,89860.34,
504,19,127656.07,
505,176,114949.69,
506,36,936533.11,
507,32,457530.69,
508,31,147314.44,
509,72,266446.74,
510,116,48714.66,
511,83,26267.25,
512,12,6898.12,
513,73,422743.62,
514,346,89332.79,
515,15,7470.97,
516,11,159997.46,
517,87,84907.13,
518,35,97707.9,
519,347,465763.03,
520,128,163433.79,
521,15,116285.66,
522,29,111032.22,
523,28,69157.38,
524,208,183802.69,
